clinic_code,vaccination_season,vaccination_coverage,stat_area_id,SubDistrictCode,subdist
6605,2008,0.07202881152460984,12244,42.0,Petah Tikva
6605,2009,0.1020408163265306,12244,42.0,Petah Tikva
6605,2010,0.1608643457382953,12244,42.0,Petah Tikva
6605,2011,0.13805522208883553,12244,42.0,Petah Tikva
6605,2012,0.14765906362545014,12244,42.0,Petah Tikva
6605,2013,0.17406962785114047,12244,42.0,Petah Tikva
6605,2014,0.18967587034813926,12244,42.0,Petah Tikva
6605,2015,0.26290516206482595,12244,42.0,Petah Tikva
6605,2016,0.23169267707082836,12244,42.0,Petah Tikva
6605,2017,0.19327731092436976,12244,42.0,Petah Tikva
6606,2008,0.06051964512040558,1541,41.0,Sharon
6606,2009,0.08428390367553866,1541,41.0,Sharon
6606,2010,0.1552598225602028,1541,41.0,Sharon
6606,2011,0.11248415716096324,1541,41.0,Sharon
6606,2012,0.11692015209125475,1541,41.0,Sharon
6606,2013,0.1181875792141952,1541,41.0,Sharon
6606,2014,0.14638783269961975,1541,41.0,Sharon
6606,2015,0.20278833967046891,1541,41.0,Sharon
6606,2016,0.1679340937896071,1541,41.0,Sharon
6606,2017,0.17173637515842838,1541,41.0,Sharon
6607,2008,0.10456583774969423,640042,51.0,Tel Aviv
6607,2009,0.14594374235629842,640042,51.0,Tel Aviv
6607,2010,0.21402364451691805,640042,51.0,Tel Aviv
6607,2011,0.17713004484304934,640042,51.0,Tel Aviv
6607,2012,0.18406033428454954,640042,51.0,Tel Aviv
6607,2013,0.2005707297187118,640042,51.0,Tel Aviv
6607,2014,0.21687729311047696,640042,51.0,Tel Aviv
6607,2015,0.2770077456176111,640042,51.0,Tel Aviv
6607,2016,0.2643701589889931,640042,51.0,Tel Aviv
6607,2017,0.25173257236037505,640042,51.0,Tel Aviv
6608,2008,0.1069364161849711,7400522,41.0,Sharon
6608,2009,0.1295761078998073,7400522,41.0,Sharon
6608,2010,0.1844894026974952,7400522,41.0,Sharon
6608,2011,0.16522157996146436,7400522,41.0,Sharon
6608,2012,0.1613680154142582,7400522,41.0,Sharon
6608,2013,0.174373795761079,7400522,41.0,Sharon
6608,2014,0.1907514450867052,7400522,41.0,Sharon
6608,2015,0.2321772639691715,7400522,41.0,Sharon
6608,2016,0.22447013487475914,7400522,41.0,Sharon
6608,2017,0.2186897880539499,7400522,41.0,Sharon
6609,2008,0.12637362637362634,7400331,41.0,Sharon
6609,2009,0.15029088558500325,7400331,41.0,Sharon
6609,2010,0.1968325791855204,7400331,41.0,Sharon
6609,2011,0.16968325791855204,7400331,41.0,Sharon
6609,2012,0.1638655462184874,7400331,41.0,Sharon
6609,2013,0.17194570135746606,7400331,41.0,Sharon
6609,2014,0.18422753716871365,7400331,41.0,Sharon
6609,2015,0.21266968325791852,7400331,41.0,Sharon
6609,2016,0.213639301874596,7400331,41.0,Sharon
6609,2017,0.22010342598577887,7400331,41.0,Sharon
6610,2008,0.0814456604734029,7900311,42.0,Petah Tikva
6610,2009,0.11300585390684653,7900311,42.0,Petah Tikva
6610,2010,0.15436497836599644,7900311,42.0,Petah Tikva
6610,2011,0.1359124459149911,7900311,42.0,Petah Tikva
6610,2012,0.14023924662764062,7900311,42.0,Petah Tikva
6610,2013,0.1518198014762026,7900311,42.0,Petah Tikva
6610,2014,0.17701705268516166,7900311,42.0,Petah Tikva
6610,2015,0.23212013234919826,7900311,42.0,Petah Tikva
6610,2016,0.22130313056757445,7900311,42.0,Petah Tikva
6610,2017,0.2270297785696106,7900311,42.0,Petah Tikva
6611,2008,0.09190321079571892,870018,42.0,Petah Tikva
6611,2009,0.1365751512331317,870018,42.0,Petah Tikva
