UNIQ_ID,NAME,category,sub_category,X,Y,longtitude,latitude,stat_area_id,yeshuv,latlon
54452022,בית ספר - לבנים הצבי,school,religious school,161414.7969,593146.6448,34.594034540368305,31.428895620077448,2462.0,246,"(31.428895620077448, 34.594034540368305)"
54449515,"בי""ס חינוך מיוחד מ""מ צבר",school,special school,202350.8873,553844.9712,35.02526368679609,31.07575672026073,220012.0,2200,"(31.07575672026073, 35.02526368679609)"
54450865,וה,school,elementary school,203698.9785,552956.5727,35.03940401857901,31.06776277017418,22007.0,2200,"(31.06776277017418, 35.03940401857901)"
54452492,בית ספר - פיס,school,elementary school,160527.2792,593058.3747,34.584705406271496,31.428054754877444,2465.0,246,"(31.428054754877444, 34.584705406271496)"
64763963,בית ספר - נווה מרגלית,school,religious school,161348.8555,604788.6258,34.59265815095443,31.53388359423605,10315.0,1031,"(31.53388359423605, 34.59265815095443)"
54452152,בית ספר - עמית,school,elementary school,194296.0167,581562.4664,34.94016379042172,31.32560000872477,12681.0,1268,"(31.32560000872477, 34.94016379042172)"
54452264,בית ספר - בארי,school,elementary school,179795.2829,572549.5466,34.7881721814443,31.243909389041324,9000611.0,9000,"(31.243909389041324, 34.7881721814443)"
54451920,בית ספר - מצפה,school,elementary school,179850.3374,574718.1887,34.78866437377777,31.26347009601137,9000211.0,9000,"(31.26347009601137, 34.78866437377777)"
54449796,בית ספר - מבועים,school,elementary school,167376.2999,595111.0708,34.65663147130963,31.446895164630128,10801.0,1080,"(31.446895164630128, 34.65663147130963)"
54449818,בית ספר - התורה,school,elementary school,160680.4811,604895.8409,34.58561436450903,31.534816627342444,10317.0,1031,"(31.534816627342444, 34.58561436450903)"
64763947,בית ספר,school,religious school,155725.7591,597428.078,34.533926108458395,31.46720774705909,4191.0,419,"(31.46720774705909, 34.533926108458395)"
54447264,"בית ספר יסודי מ""מ - יצחק שדה",school,elementary school,202562.32100000003,553727.6567,35.02748123487121,31.074701676919126,220012.0,2200,"(31.074701676919126, 35.02748123487121)"
54448110,"תיכון מקצועי מ""מ מפתן דימונה",school,high school,203176.8975,552158.6798,35.03394649402889,31.06055913885977,22003.0,2200,"(31.06055913885977, 35.03394649402889)"
54449801,"בי""ס מ""מ דקלים",school,elementary school,203477.5178,553509.6729,35.037074811493035,31.07274840511268,22007.0,2200,"(31.07274840511268, 35.037074811493035)"
54450831,"בי""ס מ""מ מנחם בגין",school,elementary school,203886.7306,553625.8717,35.04136097999782,31.073801942809414,22006.0,2200,"(31.073801942809414, 35.04136097999782)"
61240932,בית ספר - יסודי אלזהראא,school,elementary school,192872.3161,579232.8306,34.925267851214656,31.30455740519677,13031.0,1303,"(31.30455740519677, 34.925267851214656)"
61240969,בית ספר - אל הוזייל,school,elementary school,176408.083,590711.2254,34.751833166863854,31.40758565455289,100410.0,10041,"(31.40758565455289, 34.751833166863854)"
61078792,בית ספר - נווה דקלים,school,elementary school,195957.7726,573875.5275,34.957803478144484,31.256306004963054,13601.0,1360,"(31.256306004963054, 34.957803478144484)"
54446477,בית ספר - איילת השחר,school,religious school,163832.716,579321.9993,34.6202366462202,31.30433612384396,317.0,31,"(31.30433612384396, 34.6202366462202)"
54452724,בית ספר - הדסים,school,elementary school,164436.8806,579516.5221,34.62657184046185,31.306119168639718,316.0,31,"(31.306119168639718, 34.62657184046185)"
54450674,"בית ספר - חב""ד בנות אופקים",school,religious school,163454.3713,580493.3944,34.61619701522725,31.314882344220663,312.0,31,"(31.314882344220663, 34.61619701522725)"
61241005,בית ספר - יסודי אלעטאונה,school,elementary school,193555.9883,578859.0333,34.93245886054249,31.30120154132229,13031.0,1303,"(31.30120154132229, 34.93245886054249)"
54447256,"בית ספר - אמי""ת",school,religious school,161077.1771,603395.3829999999,34.589879900425856,31.52130524654116,10312.0,1031,"(31.52130524654116, 34.589879900425856)"
61240942,בית ספר יסודי - אלעזאזמה ג,school,elementary school,186274.8686,562842.4527,34.856510456679636,31.156562614611932,100410.0,10041,"(31.156562614611932, 34.856510456679636)"
61240964,בית ספר - אלופא,school,elementary school,192824.1622,578165.7228,34.92479047042232,31.294932061023378,13031.0,1303,"(31.294932061023378, 34.92479047042232)"
61240961,פנימיה - סלאם בנגב,school,boarding school,208166.921,572576.18,35.085999207187484,31.244769098247257,10591.0,1059,"(31.244769098247257, 35.085999207187484)"
54451462,"בית ספר - אמי""ת תורני מדעי",school,religious school,160902.4081,603967.9435,34.588006066311515,31.526459896485523,10316.0,1031,"(31.526459896485523, 34.588006066311515)"
61240938,בית ספר אום בטין,school,elementary school,189083.4477,576182.6245,34.88556215127376,31.27695496028346,13581.0,1358,"(31.27695496028346, 34.88556215127376)"
54446934,בית ספר - אוריין,school,elementary school,178546.8007,573770.2722,34.77501683572804,31.25487591123219,9000432.0,9000,"(31.25487591123219, 34.77501683572804)"
54446980,"בית ספר - מ""מ קהילתי גולדה מאיר",school,elementary school,178432.6183,574744.1303,34.773778222886584,31.263655036271505,9000215.0,9000,"(31.263655036271505, 34.773778222886584)"
54452084,בית ספר - קורצק,school,elementary school,178990.9581,573538.188,34.779689136836254,31.25279825759905,9000434.0,9000,"(31.25279825759905, 34.779689136836254)"
54446770,בית ספר - יעלים,school,middle school,180243.8825,573492.983,34.79284429662223,31.252433353100656,9000513.0,9000,"(31.252433353100656, 34.79284429662223)"
54446791,בית ספר - נתיבות יורם,school,elementary school,179847.0704,573773.451,34.788667430265285,31.25494946683179,9000512.0,9000,"(31.25494946683179, 34.788667430265285)"
54452299,בית ספר - יסודות,school,religious school,179808.1237,574074.9334,34.78824662107004,31.257667191582584,9000512.0,9000,"(31.257667191582584, 34.78824662107004)"
54452615,"בי""ס ממ""ד אלפסי למדעים",school,religious school,203232.1737,552348.9154,35.03452258348337,31.06227571446706,22003.0,2200,"(31.06227571446706, 35.03452258348337)"
54449207,"בי""ס גיורא יוספטל",school,elementary school,203360.302,552823.0756,35.03585748932052,31.066554115831014,22004.0,2200,"(31.066554115831014, 35.03585748932052)"
54450933,בית ספר - אביר יעקב,school,religious school,163510.4785,579536.5048,34.61683998819963,31.30625522473917,317.0,31,"(31.30625522473917, 34.61683998819963)"
61240973,בית ספר - מקיף רבין,school,elementary school,194249.5037,578467.805,34.93975318804447,31.297688272917803,13031.0,1303,"(31.297688272917803, 34.93975318804447)"
54450688,בית ספר - זבוטינסקי,school,elementary school,162082.0278,603763.2121,34.600437367659964,31.524672823501977,10313.0,1031,"(31.524672823501977, 34.600437367659964)"
64763968,בית ספר - גיל רבין,school,elementary school,162457.3807,604411.7276,34.60435173570074,31.530539923298807,10317.0,1031,"(31.530539923298807, 34.60435173570074)"
54448042,בית ספר - בית יעקב לבנות,school,religious school,164251.0326,579710.6192,34.62460900769265,31.307860859019385,316.0,31,"(31.307860859019385, 34.62460900769265)"
54452244,בית ספר - נראה אור,school,religious school,164220.5321,579658.2402,34.6242915259958,31.307387025002562,316.0,31,"(31.307387025002562, 34.6242915259958)"
54448081,בית ספר - אלון למדעים,school,elementary school,160774.292,604502.029,34.58662550955276,31.531269908745127,10316.0,1031,"(31.531269908745127, 34.58662550955276)"
54446613,בית ספר - קהילתי גבים,school,elementary school,177995.8761,573968.8553,34.76922481328186,31.25664745819311,9000222.0,9000,"(31.25664745819311, 34.76922481328186)"
54452638,בית ספר - אמית אפיקים בנגב,school,religious school,181192.2994,575539.674,34.802722703438505,31.27092383055034,9000641.0,9000,"(31.27092383055034, 34.802722703438505)"
54447704,בית ספר מקיף ג,school,special school,179267.303,573950.622,34.78257370130816,31.256527523439647,9000511.0,9000,"(31.256527523439647, 34.78257370130816)"
54448246,בית ספר - אחווה,school,elementary school,179578.5967,573196.3589,34.785871855855525,31.24973556374595,9000523.0,9000,"(31.24973556374595, 34.785871855855525)"
61240935,בית ספר - אלאנדלוס,school,elementary school,186772.1737,573685.6678,34.86137313638632,31.254372390161024,10541.0,1054,"(31.254372390161024, 34.86137313638632)"
54452860,בית ספר - מעיינות חיה,school,religious school,163493.2559,580544.5881,34.61660262034729,31.31534591104868,312.0,31,"(31.31534591104868, 34.61660262034729)"
61078796,בית ספר - אל טורשן,school,elementary school,196388.0396,573523.1639,34.962328845411754,31.253136597173356,13601.0,1360,"(31.253136597173356, 34.962328845411754)"
65106751,בית ספר - תורני נועם,school,religious school,191965.5888,602733.7145,34.91509368837668,31.516486933690892,100500.0,10050,"(31.516486933690892, 34.91509368837668)"
54446267,קרית חינוך שדות נגב,school,special school,161322.1353,593349.4498,34.593048110682524,31.430719951531838,100390.0,10039,"(31.430719951531838, 34.593048110682524)"
54447828,בית ספר - יצחק רבין,school,elementary school,160336.5195,592308.4781,34.582743756529304,31.42128216962457,2466.0,246,"(31.42128216962457, 34.582743756529304)"
61240967,בית ספר - לחינוך מיוחד,school,elementary school,193330.3153,579665.3164,34.93006738727768,31.308468361791096,13031.0,1303,"(31.308468361791096, 34.93006738727768)"
61240939,בית ספר - אלנור,school,high school,177612.6473,588691.6069,34.764584484393446,31.38941542407646,11619.0,1161,"(31.38941542407646, 34.764584484393446)"
