stat_id,eshcol,pop_thou
1683,13.0,6.6
1701,,0.6
1711,12.0,5.5
1731,,0.9
1741,,
1751,,1.2
1761,,1.4
1771,,1.2
1781,,0.8
1821,15.0,10.0
1831,,
1841,,0.9
1861,,
1871,,1.4
1881,,
1891,,0.8
1901,,1.8
1911,,
1921,,0.5
1931,,0.6
1941,,
1951,14.0,5.7
1952,,
1953,16.0,2.6
1954,14.0,5.6
1955,9.0,2.6
1961,,
1971,,0.9
1981,,1.2
1991,,0.7
2001,,
2021,,
2041,,0.6
2051,,0.7
2061,,1.4
2071,,
2081,,0.9
2121,,
2131,,
2171,,1.2
2181,,
2191,,0.5
2201,,0.7
2231,,
2241,,
2251,,0.7
2291,11.0,4.4
2292,17.0,3.4
2293,15.0,4.7
2301,,0.8
2321,,1.0
2331,,0.6
2341,,1.1
2351,,0.6
2371,,0.6
2391,,0.8
2401,10.0,2.1
2402,,
2403,10.0,2.0
2404,11.0,5.4
2405,13.0,3.7
2406,15.0,4.8
2407,10.0,1.0
2411,,1.2
2421,,1.0
2461,6.0,2.2
2462,6.0,5.0
2463,,
2464,6.0,3.8
2465,4.0,3.6
2466,7.0,3.6
2467,7.0,5.0
2468,6.0,2.8
2471,,1.2
2481,,0.6
2491,,1.1
2501,,0.9
2521,,
2531,,
2541,,
2551,,
2561,,0.6
2571,,
2591,,
2621,,
2631,,
2641,,0.5
2651,,
2671,19.0,1.7
2681,,0.6
2691,,0.9
2701,,0.8
2721,,
2731,,0.7
2741,,0.8
2761,,2.7
2781,,
2801,,
2811,,
2821,,0.7
2841,,1.2
2851,,
2861,,
2871,,0.7
2881,,0.9
2891,,1.1
2901,,0.5
2921,,
2931,,
2941,,0.9
2951,,
2961,,
2971,,0.7
2981,,
3001,,0.7
3011,,0.5
3021,,0.8
3031,,0.5
3041,,0.6
3051,,
3061,,
3071,,0.7
3081,,
3091,,1.1
3101,,
3111,,0.6
3121,,
3131,,
3151,,0.6
3161,,0.9
3171,,
3181,,
3191,,0.5
3201,,0.9
3221,,0.7
3241,,
3251,,0.5
3261,,1.7
3271,,0.8
3281,,
3291,,0.7
3301,,
3311,,1.1
3341,,1.0
3351,,0.7
3361,,0.6
3381,,
3391,,
3401,,0.5
3421,,
3431,,
3441,,0.6
3451,,0.5
3461,,
3471,,
3481,,
3511,,0.5
3521,,
3531,,
3541,,1.0
3551,,
3561,,0.6
3571,,
3581,,0.6
3591,,
3601,,0.5
3621,,
3631,,
